GISJOIN,ruggedness_mean
G1800090,0.3388758897781372
G1800230,0.29918789863586426
G1800150,0.4388028085231781
G1801070,0.5086652636528015
G1801590,0.17658232152462006
G1801130,0.6616034507751465
G1800290,2.4837379455566406
G1800270,0.6952783465385437
G1801190,1.5932693481445312
G1801250,1.0951544046401978
G1800830,0.5527839064598083
G1801730,0.9392717480659485
G1801230,2.6870813369750977
G1800330,0.5174875855445862
G1801750,1.870044231414795
G1801510,0.7423555850982666
G1801530,0.6405391097068787
G1801210,1.1643545627593994
G1801430,1.0464839935302734
G1801710,0.6105149984359741
G1800690,0.43052026629447937
G1801270,0.46405306458473206
G1800730,0.224466010928154
G1801330,1.0410763025283813
G1801770,0.7028527855873108
G1800650,0.4615868330001831
G1800450,0.5803974270820618
G1800310,0.6496375799179077
G1801550,2.7140164375305176
G1800190,1.6906588077545166
G1800030,0.369216650724411
G1801810,0.24447812139987946
G1800710,1.2480964660644531
G1800510,0.6210210919380188
G1800810,0.5554754137992859
G1800050,0.730606734752655
G1800950,0.3135690987110138
G1801030,0.5498148202896118
G1800770,1.8081001043319702
G1801650,0.7614098191261292
G1801570,0.5104562640190125
G1801410,0.4052262008190155
G1800530,0.34538787603378296
G1801690,0.5497950315475464
G1801450,0.33854940533638
G1800350,0.34257450699806213
G1800930,2.0825655460357666
G1801010,2.4937336444854736
G1800370,1.6671468019485474
G1800010,0.25368887186050415
G1801350,0.36347097158432007
G1800570,0.3923156261444092
G1800850,0.5019388794898987
G1800070,0.27606189250946045
G1800890,0.4010578989982605
G1800430,2.3784704208374023
G1801630,0.8045066595077515
G1800470,1.876749038696289
G1801490,0.23346561193466187
G1800490,0.421437531709671
G1801670,0.609298825263977
G1801790,0.24946747720241547
G1900490,0.7153054475784302
G1900010,1.239099383354187
G1900650,0.9876024723052979
G1900630,0.4548048973083496
G1901070,0.9874069690704346
G1901090,0.3469136655330658
G1901590,1.2250019311904907
G1900150,0.6837799549102783
G1901110,0.9527328610420227
G1901530,0.669333279132843
G1900130,0.4849175214767456
G1900530,1.377724051475525
G1900370,0.461995393037796
G1901910,1.4213638305664062
G1901470,0.34612661600112915
G1901950,0.3256698250770569
G1900690,0.42625892162323
G1900710,1.000074028968811
G1901650,1.3427915573120117
G1900310,0.8473576903343201
G1901290,1.206310510635376
G1900210,0.4431040287017822
G1900390,1.3657203912734985
G1900730,0.451413094997406
G1900750,0.48588627576828003
G1900070,1.2043020725250244
G1900330,0.38679012656211853
G1901830,0.8448824882507324
G1901970,0.3326742947101593
G1900410,0.3798893094062805
G1901050,1.25088632106781
G1901350,1.5646198987960815
G1901750,1.209401249885559
G1901190,0.6010629534721375
G1901170,1.3835132122039795
G1900110,0.7191473245620728
G1901030,0.9659447073936462
G1900610,1.7711164951324463
G1900970,1.9499143362045288
G1901570,1.0931205749511719
G1901490,1.035827398300171
G1901230,0.9410498738288879
G1901510,0.2933039963245392
G1901310,0.35983410477638245
G1901790,1.0939369201660156
G1900890,0.5283606052398682
G1900430,2.0929715633392334
G1901810,1.194526195526123
G1901410,0.40977588295936584
G1900050,2.586078405380249
G1901710,0.9724970459938049
G1901930,1.2832826375961304
G1901670,0.615699052810669
G1900670,0.40406695008277893
G1901210,1.2799748182296753
G1901130,0.8137479424476624
G1900250,0.31320351362228394
G1900510,1.1774009466171265
G1901330,1.2124828100204468
G1901010,0.9295041561126709
G1900590,0.47133857011795044
G1900830,0.5937854647636414
G1900870,0.8726209998130798
G1900470,1.546866536140442
G1900910,0.31561556458473206
G1900810,0.34311190247535706
G1901850,1.0848190784454346
G1901770,1.142075777053833
G1900570,0.782312273979187
G1901730,1.1099148988723755
G1900170,0.4251842200756073
G1901370,1.177015781402588
G1901250,1.1878900527954102
G1900850,1.4103569984436035
G1900190,0.5025486350059509
G1901870,0.4844423830509186
G1900550,0.8830312490463257
G1900230,0.47020891308784485
G1900930,1.0964329242706299
G1901550,1.3059602975845337
G1901150,0.6125844120979309
G1900290,1.1932041645050049
G1900090,1.4190095663070679
G1900950,1.1285374164581299
G1901690,0.4600618779659271
G1900030,1.2056124210357666
G1900450,0.8635082840919495
G1901610,0.5791234970092773
G1901430,0.3663398027420044
G1900270,0.8170362114906311
G1901630,0.7493045330047607
G1901270,0.8425284028053284
